"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
14202,"$100,000 under $200,000",28152
14202,"$200,000 or more",292871
,,
14203,,"52,117"
14203,"$1 under $25,000",3969
14203,"$25,000 under $50,000",7596
14203,"$50,000 under $75,000",8743
14203,"$75,000 under $100,000",6517
14203,"$100,000 under $200,000",14751
14203,"$200,000 or more",10541
,,
14204,,"115,679"
14204,"$1 under $25,000",24371
14204,"$25,000 under $50,000",31403
14204,"$50,000 under $75,000",20434
14204,"$75,000 under $100,000",15225
14204,"$100,000 under $200,000",24246
14204,"$200,000 or more",** 
,,
14206,,"330,444"
14206,"$1 under $25,000",55468
14206,"$25,000 under $50,000",104960
14206,"$50,000 under $75,000",71678
14206,"$75,000 under $100,000",48263
14206,"$100,000 under $200,000",50075
14206,"$200,000 or more",** 
,,
14207,,"276,295"
14207,"$1 under $25,000",73825
14207,"$25,000 under $50,000",102104
14207,"$50,000 under $75,000",47860
14207,"$75,000 under $100,000",26833
14207,"$100,000 under $200,000",25673
14207,"$200,000 or more",** 
,,
14208,,"111,004"
14208,"$1 under $25,000",29002
14208,"$25,000 under $50,000",38502
14208,"$50,000 under $75,000",20734
14208,"$75,000 under $100,000",10492
14208,"$100,000 under $200,000",12274
14208,"$200,000 or more",** 
,,
14209,,"249,062"
14209,"$1 under $25,000",16820
14209,"$25,000 under $50,000",35185
14209,"$50,000 under $75,000",28582
14209,"$75,000 under $100,000",18206
14209,"$100,000 under $200,000",41557
14209,"$200,000 or more",108712
,,
14210,,"215,762"
14210,"$1 under $25,000",39861
14210,"$25,000 under $50,000",69696
14210,"$50,000 under $75,000",45601
14210,"$75,000 under $100,000",31520
14210,"$100,000 under $200,000",29084
14210,"$200,000 or more",** 
,,
14211,,"228,277"
14211,"$1 under $25,000",72899
14211,"$25,000 under $50,000",80275
14211,"$50,000 under $75,000",37636
14211,"$75,000 under $100,000",18199
14211,"$100,000 under $200,000",19268
14211,"$200,000 or more",** 
,,
14212,,"122,606"
14212,"$1 under $25,000",33347
14212,"$25,000 under $50,000",40920
14212,"$50,000 under $75,000",22277
14212,"$75,000 under $100,000",13799
14212,"$100,000 under $200,000",12263
14212,"$200,000 or more",** 
,,
14213,,"301,298"
14213,"$1 under $25,000",70737
14213,"$25,000 under $50,000",95328
14213,"$50,000 under $75,000",50838
14213,"$75,000 under $100,000",28704
14213,"$100,000 under $200,000",38341
14213,"$200,000 or more",17350
,,
14214,,"423,288"
14214,"$1 under $25,000",41686
14214,"$25,000 under $50,000",68824
14214,"$50,000 under $75,000",55455
14214,"$75,000 under $100,000",47160
14214,"$100,000 under $200,000",106534
14214,"$200,000 or more",103629
,,
14215,,"530,163"
14215,"$1 under $25,000",116081
14215,"$25,000 under $50,000",173463
14215,"$50,000 under $75,000",102445
14215,"$75,000 under $100,000",59308
14215,"$100,000 under $200,000",66773
14215,"$200,000 or more",12093
,,
14216,,"732,880"
14216,"$1 under $25,000",46975
14216,"$25,000 under $50,000",118228
14216,"$50,000 under $75,000",111593
14216,"$75,000 under $100,000",84107
14216,"$100,000 under $200,000",165647
14216,"$200,000 or more",206330
,,
14217,,"638,442"
14217,"$1 under $25,000",47911
14217,"$25,000 under $50,000",120382
14217,"$50,000 under $75,000",120667
14217,"$75,000 under $100,000",105094
14217,"$100,000 under $200,000",177113
14217,"$200,000 or more",67275
,,
14218,,"350,414"
14218,"$1 under $25,000",52979
14218,"$25,000 under $50,000",92552
14218,"$50,000 under $75,000",76050
14218,"$75,000 under $100,000",54053
14218,"$100,000 under $200,000",64369
14218,"$200,000 or more",10411
,,
14219,,"303,809"
14219,"$1 under $25,000",28375
14219,"$25,000 under $50,000",62611
14219,"$50,000 under $75,000",63012
14219,"$75,000 under $100,000",55339
14219,"$100,000 under $200,000",69311
14219,"$200,000 or more",25161
,,
14220,,"541,895"
14220,"$1 under $25,000",57380
14220,"$25,000 under $50,000",129455
14220,"$50,000 under $75,000",108299
14220,"$75,000 under $100,000",90609
14220,"$100,000 under $200,000",135460
14220,"$200,000 or more",20692
,,
14221,,"2,667,924"
14221,"$1 under $25,000",84540
14221,"$25,000 under $50,000",173984
14221,"$50,000 under $75,000",230183
14221,"$75,000 under $100,000",282900
14221,"$100,000 under $200,000",827338
14221,"$200,000 or more",1068979
,,
14222,,"523,839"
14222,"$1 under $25,000",21782
14222,"$25,000 under $50,000",57491
14222,"$50,000 under $75,000",54324
14222,"$75,000 under $100,000",42389
14222,"$100,000 under $200,000",112829
14222,"$200,000 or more",235024
,,
14223,,"701,434"
14223,"$1 under $25,000",46535
14223,"$25,000 under $50,000",113512
14223,"$50,000 under $75,000",133124
14223,"$75,000 under $100,000",129654
14223,"$100,000 under $200,000",218430
14223,"$200,000 or more",60179
,,
14224,,"1,297,326"
14224,"$1 under $25,000",82168
14224,"$25,000 under $50,000",193915
14224,"$50,000 under $75,000",219741
14224,"$75,000 under $100,000",232047
14224,"$100,000 under $200,000",434082
14224,"$200,000 or more",135373
,,
14225,,"817,411"
14225,"$1 under $25,000",83741
14225,"$25,000 under $50,000",206946
14225,"$50,000 under $75,000",182200
14225,"$75,000 under $100,000",145837
14225,"$100,000 under $200,000",160944
14225,"$200,000 or more",37743
,,
14226,,"1,195,167"
14226,"$1 under $25,000",52420
14226,"$25,000 under $50,000",121340
14226,"$50,000 under $75,000",136262
14226,"$75,000 under $100,000",130016
14226,"$100,000 under $200,000",320239
14226,"$200,000 or more",434890
,,
14227,,"598,917"
14227,"$1 under $25,000",51270
14227,"$25,000 under $50,000",125261
14227,"$50,000 under $75,000",124010
14227,"$75,000 under $100,000",116398
14227,"$100,000 under $200,000",158542
14227,"$200,000 or more",23436
,,
14228,,"628,723"
14228,"$1 under $25,000",39723
14228,"$25,000 under $50,000",80502
14228,"$50,000 under $75,000",80178
14228,"$75,000 under $100,000",82020
14228,"$100,000 under $200,000",191967
14228,"$200,000 or more",154333
,,
14301,,"147,048"
14301,"$1 under $25,000",36043
14301,"$25,000 under $50,000",48280
14301,"$50,000 under $75,000",24961
14301,"$75,000 under $100,000",16471
14301,"$100,000 under $200,000",21293
14301,"$200,000 or more",** 
,,
14303,,"73,250"
14303,"$1 under $25,000",17219
14303,"$25,000 under $50,000",23817
14303,"$50,000 under $75,000",13178
14303,"$75,000 under $100,000",7839
14303,"$100,000 under $200,000",11197
14303,"$200,000 or more",** 
,,
14304,,"731,328"
14304,"$1 under $25,000",70592
14304,"$25,000 under $50,000",151884
14304,"$50,000 under $75,000",141565
14304,"$75,000 under $100,000",120295
14304,"$100,000 under $200,000",196706
14304,"$200,000 or more",50286
,,
14305,,"302,053"
14305,"$1 under $25,000",42939
14305,"$25,000 under $50,000",68283
14305,"$50,000 under $75,000",50564
14305,"$75,000 under $100,000",41199
14305,"$100,000 under $200,000",64880
14305,"$200,000 or more",34188
,,
14411,,"242,804"
14411,"$1 under $25,000",26508
14411,"$25,000 under $50,000",53902
14411,"$50,000 under $75,000",48368
14411,"$75,000 under $100,000",44351
14411,"$100,000 under $200,000",53840
14411,"$200,000 or more",15835
,,
14414,,"201,092"
14414,"$1 under $25,000",13721
14414,"$25,000 under $50,000",30694
14414,"$50,000 under $75,000",32666
14414,"$75,000 under $100,000",28672
14414,"$100,000 under $200,000",71724
14414,"$200,000 or more",23615
,,
14416,,"106,832"
14416,"$1 under $25,000",7446
14416,"$25,000 under $50,000",16184
14416,"$50,000 under $75,000",18813
14416,"$75,000 under $100,000",21697
14416,"$100,000 under $200,000",34272
14416,"$200,000 or more",8420
,,
14418,,"28,626"
14418,"$1 under $25,000",2379
14418,"$25,000 under $50,000",5047
14418,"$50,000 under $75,000",5920
14418,"$75,000 under $100,000",4424
14418,"$100,000 under $200,000",10856
14418,"$200,000 or more",** 
,,
14420,,"457,212"
14420,"$1 under $25,000",34716
14420,"$25,000 under $50,000",68442
14420,"$50,000 under $75,000",72271
14420,"$75,000 under $100,000",77268
14420,"$100,000 under $200,000",155431
14420,"$200,000 or more",49084
,,
14422,,"60,081"
14422,"$1 under $25,000",4120
14422,"$25,000 under $50,000",10351
14422,"$50,000 under $75,000",11144
14422,"$75,000 under $100,000",10066
14422,"$100,000 under $200,000",24400
14422,"$200,000 or more",** 
,,
14423,,"129,538"
14423,"$1 under $25,000",8186
14423,"$25,000 under $50,000",23066
14423,"$50,000 under $75,000",23452
14423,"$75,000 under $100,000",26033
14423,"$100,000 under $200,000",37843
14423,"$200,000 or more",10958
,,
14424,,"994,102"
14424,"$1 under $25,000",55381
14424,"$25,000 under $50,000",116110
14424,"$50,000 under $75,000",124259
14424,"$75,000 under $100,000",117428
14424,"$100,000 under $200,000",290239
14424,"$200,000 or more",290685
,,
14425,,"372,173"
14425,"$1 under $25,000",22239
14425,"$25,000 under $50,000",52130
14425,"$50,000 under $75,000",62878
14425,"$75,000 under $100,000",56686
14425,"$100,000 under $200,000",134562
14425,"$200,000 or more",43678
,,
14427,,"44,854"
14427,"$1 under $25,000",4130
14427,"$25,000 under $50,000",9220
14427,"$50,000 under $75,000",9121
14427,"$75,000 under $100,000",9858
14427,"$100,000 under $200,000",12525
14427,"$200,000 or more",** 
,,
14428,,"280,942"
14428,"$1 under $25,000",15800
14428,"$25,000 under $50,000",38270
14428,"$50,000 under $75,000",43899
14428,"$75,000 under $100,000",44926
14428,"$100,000 under $200,000",107554
14428,"$200,000 or more",30493
,,
14432,,"137,857"
14432,"$1 under $25,000",10630
14432,"$25,000 under $50,000",24774
14432,"$50,000 under $75,000",27550
14432,"$75,000 under $100,000",22778
14432,"$100,000 under $200,000",41143
14432,"$200,000 or more",10982
,,
14433,,"91,814"
14433,"$1 under $25,000",9380
14433,"$25,000 under $50,000",21967
14433,"$50,000 under $75,000",18184
14433,"$75,000 under $100,000",15434
14433,"$100,000 under $200,000",20358
14433,"$200,000 or more",6491
,,
14435,,"96,404"
14435,"$1 under $25,000",4915
14435,"$25,000 under $50,000",12412
14435,"$50,000 under $75,000",15638
14435,"$75,000 under $100,000",14736
14435,"$100,000 under $200,000",32522
14435,"$200,000 or more",16181
,,
14437,,"216,175"
14437,"$1 under $25,000",20445
14437,"$25,000 under $50,000",42659
14437,"$50,000 under $75,000",45265
14437,"$75,000 under $100,000",37995
14437,"$100,000 under $200,000",54904
14437,"$200,000 or more",14907
,,
14441,,"7,879"
14441,"$1 under $25,000",797
14441,"$25,000 under $50,000",2036
14441,"$50,000 under $75,000",2058
14441,"$75,000 under $100,000",** 
14441,"$100,000 under $200,000",2988
14441,"$200,000 or more",** 
,,
14445,,"186,243"
14445,"$1 under $25,000",18624
14445,"$25,000 under $50,000",46582
14445,"$50,000 under $75,000",41862
14445,"$75,000 under $100,000",27640
14445,"$100,000 under $200,000",36016
14445,"$200,000 or more",15519
,,
14450,,"2,006,574"
14450,"$1 under $25,000",65139
14450,"$25,000 under $50,000",143537
14450,"$50,000 under $75,000",186369
14450,"$75,000 under $100,000",210839
14450,"$100,000 under $200,000",695877
14450,"$200,000 or more",704813
,,
14454,,"221,331"
14454,"$1 under $25,000",10293
14454,"$25,000 under $50,000",22793
14454,"$50,000 under $75,000",28797
14454,"$75,000 under $100,000",30357
14454,"$100,000 under $200,000",78194
14454,"$200,000 or more",50897
,,
14456,,"528,202"
14456,"$1 under $25,000",44825
14456,"$25,000 under $50,000",87134
14456,"$50,000 under $75,000",75765
14456,"$75,000 under $100,000",60135
14456,"$100,000 under $200,000",118196
14456,"$200,000 or more",142147
,,
14462,,"15,318"
14462,"$1 under $25,000",1097
14462,"$25,000 under $50,000",2690
14462,"$50,000 under $75,000",3314
14462,"$75,000 under $100,000",2973
14462,"$100,000 under $200,000",5244
14462,"$200,000 or more",** 
,,
14464,,"174,813"
14464,"$1 under $25,000",14439
14464,"$25,000 under $50,000",34873
14464,"$50,000 under $75,000",31919
14464,"$75,000 under $100,000",32419
14464,"$100,000 under $200,000",49191
14464,"$200,000 or more",11972
,,
14466,,"47,528"
14466,"$1 under $25,000",3338
14466,"$25,000 under $50,000",6793
14466,"$50,000 under $75,000",8330
14466,"$75,000 under $100,000",9092
14466,"$100,000 under $200,000",19975
14466,"$200,000 or more",** 
,,
14467,,"281,976"
14467,"$1 under $25,000",18806
14467,"$25,000 under $50,000",44199
14467,"$50,000 under $75,000",49266
14467,"$75,000 under $100,000",46808
14467,"$100,000 under $200,000",87611
14467,"$200,000 or more",35286
,,
14468,,"667,709"
14468,"$1 under $25,000",33271
14468,"$25,000 under $50,000",79106
14468,"$50,000 under $75,000",91455
14468,"$75,000 under $100,000",107726
14468,"$100,000 under $200,000",217924
14468,"$200,000 or more",138227
,,
14469,,"181,246"
14469,"$1 under $25,000",11351
14469,"$25,000 under $50,000",25802
14469,"$50,000 under $75,000",27355
14469,"$75,000 under $100,000",25614
14469,"$100,000 under $200,000",59109
14469,"$200,000 or more",32015
,,
14470,,"183,260"
14470,"$1 under $25,000",16793
14470,"$25,000 under $50,000",39722
14470,"$50,000 under $75,000",36162
14470,"$75,000 under $100,000",35786
14470,"$100,000 under $200,000",43323
14470,"$200,000 or more",11474
,,
14471,,"78,747"
14471,"$1 under $25,000",5836
14471,"$25,000 under $50,000",12721
14471,"$50,000 under $75,000",12998
14471,"$75,000 under $100,000",13590
14471,"$100,000 under $200,000",22684
14471,"$200,000 or more",10918
,,
14472,,"501,674"
14472,"$1 under $25,000",12618
14472,"$25,000 under $50,000",25482
14472,"$50,000 under $75,000",33266
14472,"$75,000 under $100,000",36354
14472,"$100,000 under $200,000",137925
14472,"$200,000 or more",256029
,,
14475,,"16,088"
14475,"$1 under $25,000",769
14475,"$25,000 under $50,000",1427
14475,"$50,000 under $75,000",2673
14475,"$75,000 under $100,000",** 
14475,"$100,000 under $200,000",11219
14475,"$200,000 or more",** 
,,
14476,,"60,473"
14476,"$1 under $25,000",4365
14476,"$25,000 under $50,000",10386
14476,"$50,000 under $75,000",10391
14476,"$75,000 under $100,000",8957
14476,"$100,000 under $200,000",16081
14476,"$200,000 or more",10293
,,
14477,,"38,941"
14477,"$1 under $25,000",3342
14477,"$25,000 under $50,000",7098
14477,"$50,000 under $75,000",7116
14477,"$75,000 under $100,000",6111
14477,"$100,000 under $200,000",15274
14477,"$200,000 or more",** 
,,
14478,,"29,238"
14478,"$1 under $25,000",1530
14478,"$25,000 under $50,000",3318
14478,"$50,000 under $75,000",4489
14478,"$75,000 under $100,000",4430
14478,"$100,000 under $200,000",15471
14478,"$200,000 or more",** 
,,
14480,,"22,881"
14480,"$1 under $25,000",2292
14480,"$25,000 under $50,000",4225
14480,"$50,000 under $75,000",3983
14480,"$75,000 under $100,000",4104
14480,"$100,000 under $200,000",8277
14480,"$200,000 or more",** 
,,
14481,,"46,833"
14481,"$1 under $25,000",3446
14481,"$25,000 under $50,000",9203
14481,"$50,000 under $75,000",10417
14481,"$75,000 under $100,000",9018
14481,"$100,000 under $200,000",14749
14481,"$200,000 or more",** 
,,
14482,,"225,423"
14482,"$1 under $25,000",17696
14482,"$25,000 under $50,000",39185
14482,"$50,000 under $75,000",39169
14482,"$75,000 under $100,000",37317
14482,"$100,000 under $200,000",66134
14482,"$200,000 or more",25922
,,
14485,,"118,229"
14485,"$1 under $25,000",8350
14485,"$25,000 under $50,000",16821
14485,"$50,000 under $75,000",18973
14485,"$75,000 under $100,000",18248
14485,"$100,000 under $200,000",39824
14485,"$200,000 or more",16013
,,
14486,,"8,937"
14486,"$1 under $25,000",615
14486,"$25,000 under $50,000",1318
14486,"$50,000 under $75,000",3244
14486,"$75,000 under $100,000",** 
14486,"$100,000 under $200,000",3760
14486,"$200,000 or more",** 
,,
14487,,"189,295"
14487,"$1 under $25,000",11268
14487,"$25,000 under $50,000",24675
14487,"$50,000 under $75,000",26519
14487,"$75,000 under $100,000",30208
14487,"$100,000 under $200,000",67321
14487,"$200,000 or more",29304
,,
14489,,"142,320"
14489,"$1 under $25,000",15071
14489,"$25,000 under $50,000",34371
14489,"$50,000 under $75,000",30332
14489,"$75,000 under $100,000",24360
14489,"$100,000 under $200,000",31751
14489,"$200,000 or more",6435
,,
14502,,"339,004"
14502,"$1 under $25,000",19668
14502,"$25,000 under $50,000",41045
14502,"$50,000 under $75,000",49083
14502,"$75,000 under $100,000",51083
14502,"$100,000 under $200,000",129380
14502,"$200,000 or more",48745
,,
14504,,"38,392"
14504,"$1 under $25,000",4447
14504,"$25,000 under $50,000",9991
14504,"$50,000 under $75,000",8978
14504,"$75,000 under $100,000",6286
14504,"$100,000 under $200,000",8690
14504,"$200,000 or more",** 
,,
14505,,"138,052"
14505,"$1 under $25,000",10797
14505,"$25,000 under $50,000",24036
14505,"$50,000 under $75,000",25414
14505,"$75,000 under $100,000",29622
14505,"$100,000 under $200,000",39637
14505,"$200,000 or more",8546
,,
14506,,"83,585"
14506,"$1 under $25,000",1477
14506,"$25,000 under $50,000",2937
14506,"$50,000 under $75,000",4235
14506,"$75,000 under $100,000",5535
14506,"$100,000 under $200,000",25605
14506,"$200,000 or more",43796
,,
14507,,"33,131"
14507,"$1 under $25,000",3052
14507,"$25,000 under $50,000",6045
14507,"$50,000 under $75,000",6943
14507,"$75,000 under $100,000",5654
14507,"$100,000 under $200,000",11437
14507,"$200,000 or more",** 
,,
14510,,"97,908"
14510,"$1 under $25,000",12056
14510,"$25,000 under $50,000",21471
14510,"$50,000 under $75,000",19614
14510,"$75,000 under $100,000",18830
14510,"$100,000 under $200,000",25937
14510,"$200,000 or more",** 
,,
14512,,"135,544"
14512,"$1 under $25,000",10289
14512,"$25,000 under $50,000",19721
14512,"$50,000 under $75,000",22336
14512,"$75,000 under $100,000",18345
14512,"$100,000 under $200,000",32539
14512,"$200,000 or more",32314
,,
14513,,"298,900"
14513,"$1 under $25,000",33244
14513,"$25,000 under $50,000",66877
14513,"$50,000 under $75,000",60121
14513,"$75,000 under $100,000",48600
14513,"$100,000 under $200,000",65377
14513,"$200,000 or more",24681
,,
14514,,"196,073"
14514,"$1 under $25,000",10707
14514,"$25,000 under $50,000",28348
14514,"$50,000 under $75,000",28504
14514,"$75,000 under $100,000",30202
14514,"$100,000 under $200,000",70995
14514,"$200,000 or more",27317
,,
14516,,"58,673"
14516,"$1 under $25,000",4618
14516,"$25,000 under $50,000",10129
14516,"$50,000 under $75,000",11368
14516,"$75,000 under $100,000",8881
14516,"$100,000 under $200,000",14576
14516,"$200,000 or more",9101
,,
14517,,"65,240"
14517,"$1 under $25,000",6040
14517,"$25,000 under $50,000",12854
14517,"$50,000 under $75,000",10891
14517,"$75,000 under $100,000",11170
14517,"$100,000 under $200,000",24285
14517,"$200,000 or more",** 
,,
14519,,"403,897"
14519,"$1 under $25,000",20868
14519,"$25,000 under $50,000",50453
14519,"$50,000 under $75,000",56617
14519,"$75,000 under $100,000",63652
14519,"$100,000 under $200,000",146868
14519,"$200,000 or more",65439
,,
14521,,"61,975"
14521,"$1 under $25,000",5577
14521,"$25,000 under $50,000",13567
14521,"$50,000 under $75,000",12534
14521,"$75,000 under $100,000",9056
14521,"$100,000 under $200,000",13790
14521,"$200,000 or more",7451
,,
14522,,"229,355"
14522,"$1 under $25,000",19865
14522,"$25,000 under $50,000",43942
14522,"$50,000 under $75,000",42453
14522,"$75,000 under $100,000",38413
14522,"$100,000 under $200,000",62065
14522,"$200,000 or more",22617
,,
14525,,"68,260"
14525,"$1 under $25,000",5064
14525,"$25,000 under $50,000",12606
14525,"$50,000 under $75,000",14670
14525,"$75,000 under $100,000",14375
14525,"$100,000 under $200,000",21545
14525,"$200,000 or more",** 
,,
14526,,"955,111"
14526,"$1 under $25,000",30990
14526,"$25,000 under $50,000",69918
14526,"$50,000 under $75,000",89302
14526,"$75,000 under $100,000",102126
14526,"$100,000 under $200,000",346305
14526,"$200,000 or more",316470
,,
14527,,"310,110"
14527,"$1 under $25,000",27128
14527,"$25,000 under $50,000",55292
14527,"$50,000 under $75,000",50353
14527,"$75,000 under $100,000",46210
14527,"$100,000 under $200,000",75026
14527,"$200,000 or more",56101
,,
14530,,"125,630"
14530,"$1 under $25,000",10998
14530,"$25,000 under $50,000",24193
14530,"$50,000 under $75,000",26361
14530,"$75,000 under $100,000",20306
14530,"$100,000 under $200,000",27399
14530,"$200,000 or more",16373
,,
14532,,"112,617"
14532,"$1 under $25,000",8604
14532,"$25,000 under $50,000",22223
14532,"$50,000 under $75,000",22880
14532,"$75,000 under $100,000",19075
14532,"$100,000 under $200,000",31646
14532,"$200,000 or more",8189
,,
14533,,"39,479"
14533,"$1 under $25,000",3167
14533,"$25,000 under $50,000",7257
14533,"$50,000 under $75,000",8278
14533,"$75,000 under $100,000",7457
14533,"$100,000 under $200,000",13320
14533,"$200,000 or more",** 
,,
14534,,"2,621,973"
14534,"$1 under $25,000",37508
14534,"$25,000 under $50,000",68363
14534,"$50,000 under $75,000",101857
14534,"$75,000 under $100,000",142996
14534,"$100,000 under $200,000",588334
14534,"$200,000 or more",1682915
,,
14536,,"12,743"
14536,"$1 under $25,000",1419
14536,"$25,000 under $50,000",2438
14536,"$50,000 under $75,000",3516
14536,"$75,000 under $100,000",2145
14536,"$100,000 under $200,000",3225
14536,"$200,000 or more",** 
,,
14541,,"57,076"
14541,"$1 under $25,000",4367
14541,"$25,000 under $50,000",10552
14541,"$50,000 under $75,000",9842
14541,"$75,000 under $100,000",7669
14541,"$100,000 under $200,000",15791
14541,"$200,000 or more",8855
,,
14543,,"144,318"
14543,"$1 under $25,000",5219
14543,"$25,000 under $50,000",11696
14543,"$50,000 under $75,000",16343
14543,"$75,000 under $100,000",19160
14543,"$100,000 under $200,000",47131
14543,"$200,000 or more",44769
,,
14544,,"55,552"
14544,"$1 under $25,000",3827
14544,"$25,000 under $50,000",9105
14544,"$50,000 under $75,000",9569
14544,"$75,000 under $100,000",6171
14544,"$100,000 under $200,000",12528
14544,"$200,000 or more",14352
,,
14546,,"165,798"
14546,"$1 under $25,000",8928
14546,"$25,000 under $50,000",24372
14546,"$50,000 under $75,000",25164
14546,"$75,000 under $100,000",24334
14546,"$100,000 under $200,000",42686
14546,"$200,000 or more",40314
,,
14548,,"96,675"
14548,"$1 under $25,000",8089
14548,"$25,000 under $50,000",18665
14548,"$50,000 under $75,000",18369
14548,"$75,000 under $100,000",16618
14548,"$100,000 under $200,000",27406
14548,"$200,000 or more",7528
,,
14550,,"37,576"
14550,"$1 under $25,000",3148
14550,"$25,000 under $50,000",8284
14550,"$50,000 under $75,000",7282
14550,"$75,000 under $100,000",6984
14550,"$100,000 under $200,000",11878
14550,"$200,000 or more",** 
,,
14551,,"115,543"
14551,"$1 under $25,000",12758
14551,"$25,000 under $50,000",26523
14551,"$50,000 under $75,000",23427
14551,"$75,000 under $100,000",19883
14551,"$100,000 under $200,000",21441
14551,"$200,000 or more",11511
,,
14555,,"31,583"
14555,"$1 under $25,000",1666
14555,"$25,000 under $50,000",3906
14555,"$50,000 under $75,000",4037
14555,"$75,000 under $100,000",4613
14555,"$100,000 under $200,000",9295
14555,"$200,000 or more",8066
,,
14559,,"632,391"
14559,"$1 under $25,000",31573
14559,"$25,000 under $50,000",73023
14559,"$50,000 under $75,000",85297
14559,"$75,000 under $100,000",92793
14559,"$100,000 under $200,000",222072
14559,"$200,000 or more",127633
,,
14560,,"54,226"
14560,"$1 under $25,000",3838
14560,"$25,000 under $50,000",9604
14560,"$50,000 under $75,000",10104
14560,"$75,000 under $100,000",9954
14560,"$100,000 under $200,000",20726
14560,"$200,000 or more",** 
,,
14561,,"68,041"
14561,"$1 under $25,000",5242
14561,"$25,000 under $50,000",13819
14561,"$50,000 under $75,000",12910
14561,"$75,000 under $100,000",13658
14561,"$100,000 under $200,000",22412
14561,"$200,000 or more",** 
,,
14564,,"960,382"
14564,"$1 under $25,000",23749
14564,"$25,000 under $50,000",47856
14564,"$50,000 under $75,000",61923
14564,"$75,000 under $100,000",64734
14564,"$100,000 under $200,000",254123
14564,"$200,000 or more",507997
,,
14568,,"196,609"
14568,"$1 under $25,000",10079
14568,"$25,000 under $50,000",25570
14568,"$50,000 under $75,000",30071
14568,"$75,000 under $100,000",35459
14568,"$100,000 under $200,000",76237
14568,"$200,000 or more",19193
,,
14569,,"146,777"
14569,"$1 under $25,000",13186
14569,"$25,000 under $50,000",27650
14569,"$50,000 under $75,000",28183
14569,"$75,000 under $100,000",24382
14569,"$100,000 under $200,000",41932
14569,"$200,000 or more",11444
,,
14571,,"32,244"
14571,"$1 under $25,000",3082
14571,"$25,000 under $50,000",5407
14571,"$50,000 under $75,000",5533
14571,"$75,000 under $100,000",4210
14571,"$100,000 under $200,000",14012
14571,"$200,000 or more",** 
,,
14572,,"105,926"
14572,"$1 under $25,000",10926
14572,"$25,000 under $50,000",23280
14572,"$50,000 under $75,000",21728
14572,"$75,000 under $100,000",17589
14572,"$100,000 under $200,000",32403
14572,"$200,000 or more",** 
,,
14580,,"2,249,401"
14580,"$1 under $25,000",89510
14580,"$25,000 under $50,000",200160
14580,"$50,000 under $75,000",247624
14580,"$75,000 under $100,000",276947
14580,"$100,000 under $200,000",780312
14580,"$200,000 or more",654848
,,
14585,,"5,721"
14585,"$1 under $25,000",629
14585,"$25,000 under $50,000",1553
14585,"$50,000 under $75,000",1277
14585,"$75,000 under $100,000",2262
14585,"$100,000 under $200,000",** 
14585,"$200,000 or more",** 
,,
14586,,"359,231"
14586,"$1 under $25,000",18515
14586,"$25,000 under $50,000",44969
14586,"$50,000 under $75,000",56101
14586,"$75,000 under $100,000",62237
14586,"$100,000 under $200,000",138295
14586,"$200,000 or more",39114
,,
14589,,"219,331"
14589,"$1 under $25,000",15532
14589,"$25,000 under $50,000",33314
14589,"$50,000 under $75,000",37333
14589,"$75,000 under $100,000",33944
14589,"$100,000 under $200,000",64404
14589,"$200,000 or more",34804
,,
14590,,"109,305"
14590,"$1 under $25,000",11207
14590,"$25,000 under $50,000",22429
14590,"$50,000 under $75,000",21698
14590,"$75,000 under $100,000",19366
14590,"$100,000 under $200,000",22992
14590,"$200,000 or more",11613
,,
14591,,"43,676"
14591,"$1 under $25,000",3239
14591,"$25,000 under $50,000",6972
14591,"$50,000 under $75,000",9657
14591,"$75,000 under $100,000",8977
14591,"$100,000 under $200,000",14831
14591,"$200,000 or more",** 
,,
14604,,"78,051"
14604,"$1 under $25,000",4448
14604,"$25,000 under $50,000",11222
14604,"$50,000 under $75,000",10730
14604,"$75,000 under $100,000",6947
14604,"$100,000 under $200,000",12963
14604,"$200,000 or more",31741
,,
14605,,"96,658"
14605,"$1 under $25,000",35586
14605,"$25,000 under $50,000",35195
14605,"$50,000 under $75,000",10473
14605,"$75,000 under $100,000",3994
14605,"$100,000 under $200,000",11410
14605,"$200,000 or more",** 
,,
14606,,"518,630"
14606,"$1 under $25,000",73093
14606,"$25,000 under $50,000",146710
14606,"$50,000 under $75,000",113463
14606,"$75,000 under $100,000",78273
14606,"$100,000 under $200,000",92461
14606,"$200,000 or more",14630
,,
14607,,"443,091"
14607,"$1 under $25,000",37958
14607,"$25,000 under $50,000",106697
14607,"$50,000 under $75,000",75481
14607,"$75,000 under $100,000",36955
14607,"$100,000 under $200,000",74954
14607,"$200,000 or more",111046
,,
14608,,"140,085"
14608,"$1 under $25,000",37537
14608,"$25,000 under $50,000",44339
14608,"$50,000 under $75,000",22787
14608,"$75,000 under $100,000",11257
14608,"$100,000 under $200,000",16676
14608,"$200,000 or more",7489
,,
14609,,"815,381"
14609,"$1 under $25,000",109780
14609,"$25,000 under $50,000",224703
14609,"$50,000 under $75,000",174369
14609,"$75,000 under $100,000",113865
14609,"$100,000 under $200,000",149639
14609,"$200,000 or more",43025
,,
14610,,"893,256"
14610,"$1 under $25,000",23363
14610,"$25,000 under $50,000",65258
14610,"$50,000 under $75,000",73603
14610,"$75,000 under $100,000",65613
14610,"$100,000 under $200,000",166306
